130095,Source of report of A55 (chlamydial lymphogranuloma (venereum))
130096,Date A56 first reported (other sexually transmitted chlamydial diseases)
130097,Source of report of A56 (other sexually transmitted chlamydial diseases)
130098,Date A57 first reported (chancroid)
130099,Source of report of A57 (chancroid)
130100,Date A58 first reported (granuloma inguinale)
130101,Source of report of A58 (granuloma inguinale)
130102,Date A59 first reported (trichomoniasis)
130103,Source of report of A59 (trichomoniasis)
130104,Date A60 first reported (anogenital herpesviral [herpes simplex] infections)
130105,Source of report of A60 (anogenital herpesviral [herpes simplex] infections)
130106,"Date A63 first reported (other predominantly sexually transmitted diseases, not elsewhere classified)"
130107,"Source of report of A63 (other predominantly sexually transmitted diseases, not elsewhere classified)"
130108,Date A64 first reported (unspecified sexually transmitted disease)
130109,Source of report of A64 (unspecified sexually transmitted disease)
130110,Date A65 first reported (non-venereal syphilis)
130111,Source of report of A65 (non-venereal syphilis)
130112,Date A66 first reported (yaws)
130113,Source of report of A66 (yaws)
130114,Date A67 first reported (pinta [carate])
130115,Source of report of A67 (pinta [carate])
130116,Date A68 first reported (relapsing fevers)
130117,Source of report of A68 (relapsing fevers)
130118,Date A69 first reported (other spirochaetal infections)
130119,Source of report of A69 (other spirochaetal infections)
130120,Date A70 first reported (chlamydia psittaci infection)
130121,Source of report of A70 (chlamydia psittaci infection)
130122,Date A71 first reported (trachoma)
130123,Source of report of A71 (trachoma)
130124,Date A74 first reported (other diseases caused by chlamydiae)
130125,Source of report of A74 (other diseases caused by chlamydiae)
130126,Date A75 first reported (typhus fever)
130127,Source of report of A75 (typhus fever)
130128,Date A77 first reported (spotted fever [tick-borne rickettsioses])
130129,Source of report of A77 (spotted fever [tick-borne rickettsioses])
130130,Date A78 first reported (q fever)
130131,Source of report of A78 (q fever)
130132,Date A79 first reported (other rickettsioses)
130133,Source of report of A79 (other rickettsioses)
130134,Date A80 first reported (acute poliomyelitis)
130135,Source of report of A80 (acute poliomyelitis)
130136,Date A81 first reported (atypical virus infections of central nervous system)
130137,Source of report of A81 (atypical virus infections of central nervous system)
130138,Date A82 first reported (rabies)
130139,Source of report of A82 (rabies)
130140,Date A83 first reported (mosquito-borne viral encephalitis)
130141,Source of report of A83 (mosquito-borne viral encephalitis)
130142,Date A84 first reported (tick-borne viral encephalitis)
130143,Source of report of A84 (tick-borne viral encephalitis)
130144,"Date A85 first reported (other viral encephalitis, not elsewhere classified)"
130145,"Source of report of A85 (other viral encephalitis, not elsewhere classified)"
130146,Date A86 first reported (unspecified viral encephalitis)
130147,Source of report of A86 (unspecified viral encephalitis)
130148,Date A87 first reported (viral meningitis)
130149,Source of report of A87 (viral meningitis)
130150,"Date A88 first reported (other viral infections of central nervous system, not elsewhere classified)"
130151,"Source of report of A88 (other viral infections of central nervous system, not elsewhere classified)"
130152,Date A89 first reported (unspecified viral infection of central nervous system)
130153,Source of report of A89 (unspecified viral infection of central nervous system)
130154,Date A90 first reported (dengue fever [classical dengue])
130155,Source of report of A90 (dengue fever [classical dengue])
130156,Date A91 first reported (dengue haemorrhagic fever)
130157,Source of report of A91 (dengue haemorrhagic fever)
130158,Date A92 first reported (other mosquito-borne viral fevers)
130159,Source of report of A92 (other mosquito-borne viral fevers)
130160,"Date A93 first reported (other arthropod-borne viral fevers, not elsewhere classified)"
130161,"Source of report of A93 (other arthropod-borne viral fevers, not elsewhere classified)"
130162,Date A94 first reported (unspecified arthropod-borne viral fever)
130163,Source of report of A94 (unspecified arthropod-borne viral fever)
130164,Date A95 first reported (yellow fever)
130165,Source of report of A95 (yellow fever)
130166,Date A96 first reported (arenaviral haemorrhagic fever)
130167,Source of report of A96 (arenaviral haemorrhagic fever)
130168,Date A97 first reported (dengue)
130169,Source of report of A97 (dengue)
130170,"Date A98 first reported (other viral haemorrhagic fevers, not elsewhere classified)"
130171,"Source of report of A98 (other viral haemorrhagic fevers, not elsewhere classified)"
130172,Date A99 first reported (unspecified viral haemorrhagic fever)
130173,Source of report of A99 (unspecified viral haemorrhagic fever)
130174,Date B00 first reported (herpesviral [herpes simplex] infections)
130175,Source of report of B00 (herpesviral [herpes simplex] infections)
130176,Date B01 first reported (varicella [chickenpox])
130177,Source of report of B01 (varicella [chickenpox])
130178,Date B02 first reported (zoster [herpes zoster])
130179,Source of report of B02 (zoster [herpes zoster])
130180,Date B03 first reported (smallpox)
130181,Source of report of B03 (smallpox)
130182,Date B04 first reported (monkeypox)
130183,Source of report of B04 (monkeypox)
130184,Date B05 first reported (measles)
130185,Source of report of B05 (measles)
130186,Date B06 first reported (rubella [german measles])
130187,Source of report of B06 (rubella [german measles])
130188,Date B07 first reported (viral warts)
130189,Source of report of B07 (viral warts)
130190,"Date B08 first reported (other viral infections characterised by skin and mucous membrane lesions, not elsewhere classified)"
130191,"Source of report of B08 (other viral infections characterised by skin and mucous membrane lesions, not elsewhere classified)"
130192,Date B09 first reported (unspecified viral infection characterised by skin and mucous membrane lesions)
130193,Source of report of B09 (unspecified viral infection characterised by skin and mucous membrane lesions)
130194,Date B15 first reported (acute hepatitis a)
130195,Source of report of B15 (acute hepatitis a)
130196,Date B16 first reported (acute hepatitis b)
130197,Source of report of B16 (acute hepatitis b)
130198,Date B17 first reported (other acute viral hepatitis)
130199,Source of report of B17 (other acute viral hepatitis)
130200,Date B18 first reported (chronic viral hepatitis)
130201,Source of report of B18 (chronic viral hepatitis)
130202,Date B19 first reported (unspecified viral hepatitis)
130203,Source of report of B19 (unspecified viral hepatitis)
130204,Date B20 first reported (human immunodeficiency virus [hiv] disease resulting in infectious and parasitic diseases)
130205,Source of report of B20 (human immunodeficiency virus [hiv] disease resulting in infectious and parasitic diseases)
130206,Date B21 first reported (human immunodeficiency virus [hiv] disease resulting in malignant neoplasms)
130207,Source of report of B21 (human immunodeficiency virus [hiv] disease resulting in malignant neoplasms)
130208,Date B22 first reported (human immunodeficiency virus [hiv] disease resulting in other specified diseases)
130209,Source of report of B22 (human immunodeficiency virus [hiv] disease resulting in other specified diseases)
130210,Date B23 first reported (human immunodeficiency virus [hiv] disease resulting in other conditions)
130211,Source of report of B23 (human immunodeficiency virus [hiv] disease resulting in other conditions)
130212,Date B24 first reported (unspecified human immunodeficiency virus [hiv] disease)
130213,Source of report of B24 (unspecified human immunodeficiency virus [hiv] disease)
130214,Date B25 first reported (cytomegaloviral disease)
130215,Source of report of B25 (cytomegaloviral disease)
130216,Date B26 first reported (mumps)
130217,Source of report of B26 (mumps)
130218,Date B27 first reported (infectious mononucleosis)
130219,Source of report of B27 (infectious mononucleosis)
130220,Date B30 first reported (viral conjunctivitis)
130221,Source of report of B30 (viral conjunctivitis)
130222,"Date B33 first reported (other viral diseases, not elsewhere classified)"
130223,"Source of report of B33 (other viral diseases, not elsewhere classified)"
130224,Date B34 first reported (viral infection of unspecified site)
130225,Source of report of B34 (viral infection of unspecified site)
130226,Date B35 first reported (dermatophytosis)
130227,Source of report of B35 (dermatophytosis)
130228,Date B36 first reported (other superficial mycoses)
130229,Source of report of B36 (other superficial mycoses)
130230,Date B37 first reported (candidiasis)
130231,Source of report of B37 (candidiasis)
130232,Date B38 first reported (coccidioidomycosis)
130233,Source of report of B38 (coccidioidomycosis)
130234,Date B39 first reported (histoplasmosis)
130235,Source of report of B39 (histoplasmosis)
130236,Date B40 first reported (blastomycosis)
130237,Source of report of B40 (blastomycosis)
130238,Date B41 first reported (paracoccidioidomycosis)
130239,Source of report of B41 (paracoccidioidomycosis)
130240,Date B42 first reported (sporotrichosis)
130241,Source of report of B42 (sporotrichosis)
130242,Date B43 first reported (chromomycosis and phaeomycotic abscess)
130243,Source of report of B43 (chromomycosis and phaeomycotic abscess)
130244,Date B44 first reported (aspergillosis)
130245,Source of report of B44 (aspergillosis)
130246,Date B45 first reported (cryptococcosis)
130247,Source of report of B45 (cryptococcosis)
130248,Date B46 first reported (zygomycosis)
130249,Source of report of B46 (zygomycosis)
130250,Date B47 first reported (mycetoma)
130251,Source of report of B47 (mycetoma)
130252,"Date B48 first reported (other mycoses, not elsewhere classified)"
130253,"Source of report of B48 (other mycoses, not elsewhere classified)"
130254,Date B49 first reported (unspecified mycosis)
130255,Source of report of B49 (unspecified mycosis)
130256,Date B50 first reported (plasmodium falciparum malaria)
130257,Source of report of B50 (plasmodium falciparum malaria)
130258,Date B51 first reported (plasmodium vivax malaria)
130259,Source of report of B51 (plasmodium vivax malaria)
130260,Date B52 first reported (plasmodium malariae malaria)
130261,Source of report of B52 (plasmodium malariae malaria)
130262,Date B53 first reported (other parasitologically confirmed malaria)
130263,Source of report of B53 (other parasitologically confirmed malaria)
130264,Date B54 first reported (unspecified malaria)
130265,Source of report of B54 (unspecified malaria)
130266,Date B55 first reported (leishmaniasis)
130267,Source of report of B55 (leishmaniasis)
130268,Date B56 first reported (african trypanosomiasis)
130269,Source of report of B56 (african trypanosomiasis)
130270,Date B57 first reported (chagas' disease)
130271,Source of report of B57 (chagas' disease)
130272,Date B58 first reported (toxoplasmosis)
130273,Source of report of B58 (toxoplasmosis)
130274,Date B59 first reported (pneumocystosis)
130275,Source of report of B59 (pneumocystosis)
130276,"Date B60 first reported (other protozoal diseases, not elsewhere classified)"
130277,"Source of report of B60 (other protozoal diseases, not elsewhere classified)"
130278,Date B64 first reported (unspecified protozoal disease)
130279,Source of report of B64 (unspecified protozoal disease)
130280,Date B65 first reported (schistosomiasis [bilharziasis])
130281,Source of report of B65 (schistosomiasis [bilharziasis])
130282,Date B66 first reported (other fluke infections)
130283,Source of report of B66 (other fluke infections)
130284,Date B67 first reported (echinococcosis)
130285,Source of report of B67 (echinococcosis)
130286,Date B68 first reported (taeniasis)
130287,Source of report of B68 (taeniasis)
130288,Date B69 first reported (cysticercosis)
130289,Source of report of B69 (cysticercosis)
130290,Date B70 first reported (diphyllobothriasis and sparganosis)
130291,Source of report of B70 (diphyllobothriasis and sparganosis)
130292,Date B71 first reported (other cestode infections)
130293,Source of report of B71 (other cestode infections)
130294,Date B72 first reported (dracunculiasis)
130295,Source of report of B72 (dracunculiasis)
130296,Date B73 first reported (onchocerciasis)
130297,Source of report of B73 (onchocerciasis)
130298,Date B74 first reported (filariasis)
130299,Source of report of B74 (filariasis)
130300,Date B75 first reported (trichinellosis)
130301,Source of report of B75 (trichinellosis)
130302,Date B76 first reported (hookworm diseases)
130303,Source of report of B76 (hookworm diseases)
130304,Date B77 first reported (ascariasis)
130305,Source of report of B77 (ascariasis)
130306,Date B78 first reported (strongyloidiasis)
130307,Source of report of B78 (strongyloidiasis)
130308,Date B79 first reported (trichuriasis)
130309,Source of report of B79 (trichuriasis)
130310,Date B80 first reported (enterobiasis)
130311,Source of report of B80 (enterobiasis)
130312,"Date B81 first reported (other intestinal helminthiases, not elsewhere classified)"
130313,"Source of report of B81 (other intestinal helminthiases, not elsewhere classified)"
130314,Date B82 first reported (unspecified intestinal parasitism)
130315,Source of report of B82 (unspecified intestinal parasitism)
130316,Date B83 first reported (other helminthiases)
130317,Source of report of B83 (other helminthiases)
130318,Date B85 first reported (pediculosis and phthiriasis)
130319,Source of report of B85 (pediculosis and phthiriasis)
130320,Date B86 first reported (scabies)
130321,Source of report of B86 (scabies)
130322,Date B87 first reported (myiasis)
130323,Source of report of B87 (myiasis)
130324,Date B88 first reported (other infestations)
130325,Source of report of B88 (other infestations)
130326,Date B89 first reported (unspecified parasitic disease)
130327,Source of report of B89 (unspecified parasitic disease)
130328,Date B90 first reported (sequelae of tuberculosis)
130329,Source of report of B90 (sequelae of tuberculosis)
130330,Date B91 first reported (sequelae of poliomyelitis)
130331,Source of report of B91 (sequelae of poliomyelitis)
130332,Date B92 first reported (sequelae of leprosy)
130333,Source of report of B92 (sequelae of leprosy)
130334,Date B94 first reported (sequelae of other and unspecified infectious and parasitic diseases)
130335,Source of report of B94 (sequelae of other and unspecified infectious and parasitic diseases)
130336,Date B95 first reported (streptococcus and staphylococcus as the cause of diseases classified to other chapters)
130337,Source of report of B95 (streptococcus and staphylococcus as the cause of diseases classified to other chapters)
130338,Date B96 first reported (other bacterial agents as the cause of diseases classified to other chapters)
130339,Source of report of B96 (other bacterial agents as the cause of diseases classified to other chapters)
130340,Date B97 first reported (viral agents as the cause of diseases classified to other chapters)
130341,Source of report of B97 (viral agents as the cause of diseases classified to other chapters)
130342,Date B98 first reported (other specified infectious agents as the cause of diseases classified to other chapters)
130343,Source of report of B98 (other specified infectious agents as the cause of diseases classified to other chapters)
130344,Date B99 first reported (other and unspecified infectious diseases)
130345,Source of report of B99 (other and unspecified infectious diseases)
130622,Date D50 first reported (iron deficiency anaemia)
130623,Source of report of D50 (iron deficiency anaemia)
130624,Date D51 first reported (vitamin b12 deficiency anaemia)
130625,Source of report of D51 (vitamin b12 deficiency anaemia)
130626,Date D52 first reported (folate deficiency anaemia)
130627,Source of report of D52 (folate deficiency anaemia)
130628,Date D53 first reported (other nutritional anaemias)
130629,Source of report of D53 (other nutritional anaemias)
130630,Date D55 first reported (anaemia due to enzyme disorders)
130631,Source of report of D55 (anaemia due to enzyme disorders)
130632,Date D56 first reported (thalassaemia)
130633,Source of report of D56 (thalassaemia)
130634,Date D57 first reported (sickle-cell disorders)
130635,Source of report of D57 (sickle-cell disorders)
130636,Date D58 first reported (other hereditary haemolytic anaemias)
130637,Source of report of D58 (other hereditary haemolytic anaemias)
130638,Date D59 first reported (acquired haemolytic anaemia)
130639,Source of report of D59 (acquired haemolytic anaemia)
130640,Date D60 first reported (acquired pure red cell aplasia [erythroblastopenia])
130641,Source of report of D60 (acquired pure red cell aplasia [erythroblastopenia])
130642,Date D61 first reported (other aplastic anaemias)
130643,Source of report of D61 (other aplastic anaemias)
130644,Date D62 first reported (acute posthaemorrhagic anaemia)
130645,Source of report of D62 (acute posthaemorrhagic anaemia)
130646,Date D63 first reported (anaemia in chronic diseases classified elsewhere)
130647,Source of report of D63 (anaemia in chronic diseases classified elsewhere)
130648,Date D64 first reported (other anaemias)
130649,Source of report of D64 (other anaemias)
130650,Date D65 first reported (disseminated intravascular coagulation [defibrination syndrome])
130651,Source of report of D65 (disseminated intravascular coagulation [defibrination syndrome])
130652,Date D66 first reported (hereditary factor viii deficiency)
130653,Source of report of D66 (hereditary factor viii deficiency)
130654,Date D67 first reported (hereditary factor ix deficiency)
130655,Source of report of D67 (hereditary factor ix deficiency)
130656,Date D68 first reported (other coagulation defects)
130657,Source of report of D68 (other coagulation defects)
130658,Date D69 first reported (purpura and other haemorrhagic conditions)
130659,Source of report of D69 (purpura and other haemorrhagic conditions)
130660,Date D70 first reported (agranulocytosis)
130661,Source of report of D70 (agranulocytosis)
130662,Date D71 first reported (functional disorders of polymorphonuclear neutrophils)
130663,Source of report of D71 (functional disorders of polymorphonuclear neutrophils)
130664,Date D72 first reported (other disorders of white blood cells)
130665,Source of report of D72 (other disorders of white blood cells)
130666,Date D73 first reported (diseases of spleen)
130667,Source of report of D73 (diseases of spleen)
130668,Date D74 first reported (methaemoglobinaemia)
130669,Source of report of D74 (methaemoglobinaemia)
130670,Date D75 first reported (other diseases of blood and blood-forming organs)
130671,Source of report of D75 (other diseases of blood and blood-forming organs)
130672,Date D76 first reported (certain diseases involving lymphoreticular tissue and reticulohistiocytic system)
130673,Source of report of D76 (certain diseases involving lymphoreticular tissue and reticulohistiocytic system)
130674,Date D77 first reported (other disorders of blood and blood-forming organs in diseases classified elsewhere)
130675,Source of report of D77 (other disorders of blood and blood-forming organs in diseases classified elsewhere)
130676,Date D80 first reported (immunodeficiency with predominantly antibody defects)
130677,Source of report of D80 (immunodeficiency with predominantly antibody defects)
130678,Date D81 first reported (combined immunodeficiencies)
130679,Source of report of D81 (combined immunodeficiencies)
130680,Date D82 first reported (immunodeficiency associated with other major defects)
130681,Source of report of D82 (immunodeficiency associated with other major defects)
130682,Date D83 first reported (common variable immunodeficiency)
130683,Source of report of D83 (common variable immunodeficiency)
130684,Date D84 first reported (other immunodeficiencies)
130685,Source of report of D84 (other immunodeficiencies)
130686,Date D86 first reported (sarcoidosis)
130687,Source of report of D86 (sarcoidosis)
130688,"Date D89 first reported (other disorders involving the immune mechanism, not elsewhere classified)"
130689,"Source of report of D89 (other disorders involving the immune mechanism, not elsewhere classified)"
130690,Date E00 first reported (congenital iodine-deficiency syndrome)
130691,Source of report of E00 (congenital iodine-deficiency syndrome)
130692,Date E01 first reported (iodine-deficiency-related thyroid disorders and allied conditions)
130693,Source of report of E01 (iodine-deficiency-related thyroid disorders and allied conditions)
130694,Date E02 first reported (subclinical iodine-deficiency hypothyroidism)
130695,Source of report of E02 (subclinical iodine-deficiency hypothyroidism)
130696,Date E03 first reported (other hypothyroidism)
130697,Source of report of E03 (other hypothyroidism)
130698,Date E04 first reported (other non-toxic goitre)
130699,Source of report of E04 (other non-toxic goitre)
130700,Date E05 first reported (thyrotoxicosis [hyperthyroidism])
130701,Source of report of E05 (thyrotoxicosis [hyperthyroidism])
130702,Date E06 first reported (thyroiditis)
130703,Source of report of E06 (thyroiditis)
130704,Date E07 first reported (other disorders of thyroid)
130705,Source of report of E07 (other disorders of thyroid)
130706,Date E10 first reported (insulin-dependent diabetes mellitus)
130707,Source of report of E10 (insulin-dependent diabetes mellitus)
130708,Date E11 first reported (non-insulin-dependent diabetes mellitus)
130709,Source of report of E11 (non-insulin-dependent diabetes mellitus)
130710,Date E12 first reported (malnutrition-related diabetes mellitus)
130711,Source of report of E12 (malnutrition-related diabetes mellitus)
130712,Date E13 first reported (other specified diabetes mellitus)
130713,Source of report of E13 (other specified diabetes mellitus)
130714,Date E14 first reported (unspecified diabetes mellitus)
130715,Source of report of E14 (unspecified diabetes mellitus)
130716,Date E15 first reported (nondiabetic hypoglycaemic coma)
130717,Source of report of E15 (nondiabetic hypoglycaemic coma)
130718,Date E16 first reported (other disorders of pancreatic internal secretion)
130719,Source of report of E16 (other disorders of pancreatic internal secretion)
130720,Date E20 first reported (hypoparathyroidism)
130721,Source of report of E20 (hypoparathyroidism)
130722,Date E21 first reported (hyperparathyroidism and other disorders of parathyroid gland)
130723,Source of report of E21 (hyperparathyroidism and other disorders of parathyroid gland)
130724,Date E22 first reported (hyperfunction of pituitary gland)
130725,Source of report of E22 (hyperfunction of pituitary gland)
130726,Date E23 first reported (hypofunction and other disorders of pituitary gland)
130727,Source of report of E23 (hypofunction and other disorders of pituitary gland)
130728,Date E24 first reported (cushing's syndrome)
130729,Source of report of E24 (cushing's syndrome)
130730,Date E25 first reported (adrenogenital disorders)
130731,Source of report of E25 (adrenogenital disorders)
130732,Date E26 first reported (hyperaldosteronism)
130733,Source of report of E26 (hyperaldosteronism)
130734,Date E27 first reported (other disorders of adrenal gland)
130735,Source of report of E27 (other disorders of adrenal gland)
130736,Date E28 first reported (ovarian dysfunction)
130737,Source of report of E28 (ovarian dysfunction)
130738,Date E29 first reported (testicular dysfunction)
130739,Source of report of E29 (testicular dysfunction)
130740,"Date E30 first reported (disorders of puberty, not elsewhere classified)"
130741,"Source of report of E30 (disorders of puberty, not elsewhere classified)"
130742,Date E31 first reported (polyglandular dysfunction)
130743,Source of report of E31 (polyglandular dysfunction)
130744,Date E32 first reported (diseases of thymus)
130745,Source of report of E32 (diseases of thymus)
130746,Date E34 first reported (other endocrine disorders)
130747,Source of report of E34 (other endocrine disorders)
130748,Date E35 first reported (disorders of endocrine glands in diseases classified elsewhere)
130749,Source of report of E35 (disorders of endocrine glands in diseases classified elsewhere)
130750,Date E40 first reported (kwashiorkor)
130751,Source of report of E40 (kwashiorkor)
130752,Date E41 first reported (nutritional marasmus)
130753,Source of report of E41 (nutritional marasmus)
130754,Date E42 first reported (marasmic kwashiorkor)
130755,Source of report of E42 (marasmic kwashiorkor)
130756,Date E43 first reported (unspecified severe protein-energy malnutrition)
130757,Source of report of E43 (unspecified severe protein-energy malnutrition)
130758,Date E44 first reported (protein-energy malnutrition of moderate and mild degree)
130759,Source of report of E44 (protein-energy malnutrition of moderate and mild degree)
130760,Date E45 first reported (retarded development following protein-energy malnutrition)
130761,Source of report of E45 (retarded development following protein-energy malnutrition)
130762,Date E46 first reported (unspecified protein-energy malnutrition)
130763,Source of report of E46 (unspecified protein-energy malnutrition)
130764,Date E50 first reported (vitamin a deficiency)
130765,Source of report of E50 (vitamin a deficiency)
130766,Date E51 first reported (thiamine deficiency)
130767,Source of report of E51 (thiamine deficiency)
130768,Date E52 first reported (niacin deficiency [pellagra])
130769,Source of report of E52 (niacin deficiency [pellagra])
130770,Date E53 first reported (deficiency of other b group vitamins)
130771,Source of report of E53 (deficiency of other b group vitamins)
130772,Date E54 first reported (ascorbic acid deficiency)
130773,Source of report of E54 (ascorbic acid deficiency)
130774,Date E55 first reported (vitamin d deficiency)
130775,Source of report of E55 (vitamin d deficiency)
130776,Date E56 first reported (other vitamin deficiencies)
130777,Source of report of E56 (other vitamin deficiencies)
130778,Date E58 first reported (dietary calcium deficiency)
130779,Source of report of E58 (dietary calcium deficiency)
130780,Date E59 first reported (dietary selenium deficiency)
130781,Source of report of E59 (dietary selenium deficiency)
130782,Date E60 first reported (dietary zinc deficiency)
130783,Source of report of E60 (dietary zinc deficiency)
130784,Date E61 first reported (deficiency of other nutrient elements)
130785,Source of report of E61 (deficiency of other nutrient elements)
130786,Date E63 first reported (other nutritional deficiencies)
130787,Source of report of E63 (other nutritional deficiencies)
130788,Date E64 first reported (sequelae of malnutrition and other nutritional deficiencies)
130789,Source of report of E64 (sequelae of malnutrition and other nutritional deficiencies)
130790,Date E65 first reported (localised adiposity)
130791,Source of report of E65 (localised adiposity)
130792,Date E66 first reported (obesity)
130793,Source of report of E66 (obesity)
130794,Date E67 first reported (other hyperalimentation)
130795,Source of report of E67 (other hyperalimentation)
130796,Date E68 first reported (sequelae of hyperalimentation)
130797,Source of report of E68 (sequelae of hyperalimentation)
130798,Date E70 first reported (disorders of aromatic amino-acid metabolism)
130799,Source of report of E70 (disorders of aromatic amino-acid metabolism)
130800,Date E71 first reported (disorders of branched-chain amino-acid metabolism and fatty-acid metabolism)
130801,Source of report of E71 (disorders of branched-chain amino-acid metabolism and fatty-acid metabolism)
130802,Date E72 first reported (other disorders of amino-acid metabolism)
130803,Source of report of E72 (other disorders of amino-acid metabolism)
130804,Date E73 first reported (lactose intolerance)
130805,Source of report of E73 (lactose intolerance)
130806,Date E74 first reported (other disorders of carbohydrate metabolism)
130807,Source of report of E74 (other disorders of carbohydrate metabolism)
130808,Date E75 first reported (disorders of sphingolipid metabolism and other lipid storage disorders)
130809,Source of report of E75 (disorders of sphingolipid metabolism and other lipid storage disorders)
130810,Date E76 first reported (disorders of glycosaminoglycan metabolism)
130811,Source of report of E76 (disorders of glycosaminoglycan metabolism)
130812,Date E77 first reported (disorders of glycoprotein metabolism)
130813,Source of report of E77 (disorders of glycoprotein metabolism)
130814,Date E78 first reported (disorders of lipoprotein metabolism and other lipidaemias)
130815,Source of report of E78 (disorders of lipoprotein metabolism and other lipidaemias)
130816,Date E79 first reported (disorders of purine and pyrimidine metabolism)
130817,Source of report of E79 (disorders of purine and pyrimidine metabolism)
130818,Date E80 first reported (disorders of porphyrin and bilirubin metabolism)
130819,Source of report of E80 (disorders of porphyrin and bilirubin metabolism)
130820,Date E83 first reported (disorders of mineral metabolism)
130821,Source of report of E83 (disorders of mineral metabolism)
130822,Date E84 first reported (cystic fibrosis)
130823,Source of report of E84 (cystic fibrosis)
130824,Date E85 first reported (amyloidosis)
